country_code,wave,wave_label,empl_status,n,share
AL,5,"W5
2010",Self-employed,509,51.104417670682736
AL,6,"W6
2015",Self-employed,446,44.68937875751503
AL,8,"W8
2024",Self-employed,338,34.63114754098361
AT,2,"W2
1995",Self-employed,130,12.369172216936251
AT,3,"W3
2000",Self-employed,171,11.39240506329114
AT,4,"W4
2005",Self-employed,137,13.852376137512639
AT,5,"W5
2010",Self-employed,134,14.060860440713535
AT,6,"W6
2015",Self-employed,155,15.285996055226825
AT,8,"W8
2024",Self-employed,143,14.088669950738916
BA,8,"W8
2024",Self-employed,134,11.703056768558952
BE,2,"W2
1995",Self-employed,235,23.85786802030457
BE,3,"W3
2000",Self-employed,252,16.77762982689747
BE,4,"W4
2005",Self-employed,107,11.542610571736784
BE,5,"W5
2010",Self-employed,556,14.260066683765068
BE,6,"W6
2015",Self-employed,350,13.89440254069075
BE,8,"W8
2024",Self-employed,244,11.949069539666993
BG,3,"W3
2000",Self-employed,142,14.489795918367346
BG,4,"W4
2005",Self-employed,145,13.03956834532374
BG,5,"W5
2010",Self-employed,103,10.372608257804632
BG,6,"W6
2015",Self-employed,177,16.74550614947966
BG,8,"W8
2024",Self-employed,119,12.008072653884964
CH,4,"W4
2005",Self-employed,181,17.607003891050585
CH,6,"W6
2015",Self-employed,130,12.935323383084576
CH,8,"W8
2024",Self-employed,88,8.712871287128712
CY,3,"W3
2000",Self-employed,102,20.647773279352226
CY,4,"W4
2005",Self-employed,116,19.333333333333332
CY,5,"W5
2010",Self-employed,214,21.485943775100402
CY,6,"W6
2015",Self-employed,183,18.263473053892216
CY,8,"W8
2024",Self-employed,105,12.851897184822523
CZ,3,"W3
2000",Self-employed,156,15.204678362573098
CZ,4,"W4
2005",Self-employed,142,14.74558670820353
CZ,5,"W5
2010",Self-employed,171,17.70186335403727
CZ,6,"W6
2015",Self-employed,154,15.587044534412955
CZ,8,"W8
2024",Self-employed,121,11.94471865745311
DE,2,"W2
1995",Self-employed,256,12.648221343873518
DE,3,"W3
2000",Self-employed,182,12.045003309066843
DE,4,"W4
2005",Self-employed,88,8.80880880880881
DE,5,"W5
2010",Self-employed,230,10.989010989010989
DE,6,"W6
2015",Self-employed,241,11.620057859209258
DE,8,"W8
2024",Self-employed,101,9.546313799621927
DK,2,"W2
1995",Self-employed,73,7.733050847457627
DK,3,"W3
2000",Self-employed,95,6.324900133155792
DK,4,"W4
2005",Self-employed,75,7.64525993883792
DK,5,"W5
2010",Self-employed,104,9.792843691148775
DK,6,"W6
2015",Self-employed,62,6.2
DK,8,"W8
2024",Self-employed,67,6.713426853707414
EE,3,"W3
2000",Self-employed,96,9.63855421686747
EE,4,"W4
2005",Self-employed,40,6.688963210702341
EE,5,"W5
2010",Self-employed,84,8.46774193548387
EE,6,"W6
2015",Self-employed,107,10.67864271457086
EE,8,"W8
2024",Self-employed,161,16.03585657370518
EL,2,"W2
1995",Self-employed,478,48.925281473899695
EL,3,"W3
2000",Self-employed,678,45.2
EL,4,"W4
2005",Self-employed,361,36.281407035175874
EL,5,"W5
2010",Self-employed,383,37.04061895551257
EL,6,"W6
2015",Self-employed,364,36.36363636363637
EL,8,"W8
2024",Self-employed,405,35.90425531914894
ES,2,"W2
1995",Self-employed,240,25.668449197860966
ES,3,"W3
2000",Self-employed,369,24.6
ES,4,"W4
2005",Self-employed,207,20.597014925373134
ES,5,"W5
2010",Self-employed,124,12.474849094567404
ES,6,"W6
2015",Self-employed,588,17.62589928057554
ES,8,"W8
2024",Self-employed,110,11.055276381909549
FI,2,"W2
1995",Self-employed,152,14.629451395572666
FI,3,"W3
2000",Self-employed,188,12.789115646258503
FI,4,"W4
2005",Self-employed,102,9.705042816365367
FI,5,"W5
2010",Self-employed,81,8.206686930091186
FI,6,"W6
2015",Self-employed,198,20.040485829959515
FI,8,"W8
2024",Self-employed,118,11.835506519558676
FR,2,"W2
1995",Self-employed,128,13.459516298633018
FR,3,"W3
2000",Self-employed,204,13.682092555331993
FR,4,"W4
2005",Self-employed,120,11.47227533460803
FR,5,"W5
2010",Self-employed,363,12.431506849315069
FR,6,"W6
2015",Self-employed,133,8.727034120734908
FR,8,"W8
2024",Self-employed,111,10.62200956937799
HR,4,"W4
2005",Self-employed,121,12.551867219917012
HR,5,"W5
2010",Self-employed,135,12.918660287081341
HR,6,"W6
2015",Self-employed,165,16.802443991853362
HR,8,"W8
2024",Self-employed,190,17.975402081362347
HU,3,"W3
2000",Self-employed,130,13.118062563067609
HU,4,"W4
2005",Self-employed,144,14.96881496881497
HU,5,"W5
2010",Self-employed,119,12.331606217616581
HU,6,"W6
2015",Self-employed,152,15.369059656218404
HU,8,"W8
2024",Self-employed,160,15.137180700094607
IE,2,"W2
1995",Self-employed,230,23.662551440329217
IE,3,"W3
2000",Self-employed,276,18.57335127860027
IE,4,"W4
2005",Self-employed,217,21.52777777777778
IE,5,"W5
2010",Self-employed,169,17.244897959183675
IE,6,"W6
2015",Self-employed,228,21.59090909090909
IE,8,"W8
2024",Self-employed,165,14.986376021798364
IT,2,"W2
1995",Self-employed,301,31.06295149638803
IT,3,"W3
2000",Self-employed,408,27.25450901803607
IT,4,"W4
2005",Self-employed,246,25.256673511293638
IT,5,"W5
2010",Self-employed,353,24.261168384879724
IT,6,"W6
2015",Self-employed,411,30.534918276374444
IT,8,"W8
2024",Self-employed,270,27.054108216432866
LT,3,"W3
2000",Self-employed,103,10.299999999999999
LT,4,"W4
2005",Self-employed,120,11.952191235059761
LT,5,"W5
2010",Self-employed,120,11.976047904191617
LT,6,"W6
2015",Self-employed,141,14.128256513026052
LT,8,"W8
2024",Self-employed,148,14.313346228239846
LU,2,"W2
1995",Self-employed,72,15.221987315010571
LU,3,"W3
2000",Self-employed,42,8.4
LU,4,"W4
2005",Self-employed,54,9.106239460370995
LU,5,"W5
2010",Self-employed,114,11.887382690302397
LU,6,"W6
2015",Self-employed,107,10.67864271457086
LU,8,"W8
2024",Self-employed,44,8.627450980392156
LV,3,"W3
2000",Self-employed,103,10.31031031031031
LV,4,"W4
2005",Self-employed,62,6.281661600810537
LV,5,"W5
2010",Self-employed,61,6.1368209255533195
LV,6,"W6
2015",Self-employed,146,14.852492370295014
LV,8,"W8
2024",Self-employed,134,12.338858195211786
ME,5,"W5
2010",Self-employed,227,22.276741903827283
ME,6,"W6
2015",Self-employed,315,31.786074672048436
ME,8,"W8
2024",Self-employed,177,17.217898832684824
MK,5,"W5
2010",Self-employed,251,24.41634241245136
MK,6,"W6
2015",Self-employed,269,27.589743589743588
MK,8,"W8
2024",Self-employed,214,20.226843100189036
MT,3,"W3
2000",Self-employed,77,15.4
MT,4,"W4
2005",Self-employed,82,13.758389261744966
MT,5,"W5
2010",Self-employed,143,14.386317907444667
MT,6,"W6
2015",Self-employed,124,12.350597609561753
MT,8,"W8
2024",Self-employed,134,16.441717791411044
NL,2,"W2
1995",Self-employed,101,9.730250481695569
NL,3,"W3
2000",Self-employed,77,5.136757838559039
NL,4,"W4
2005",Self-employed,114,11.209439528023598
NL,5,"W5
2010",Self-employed,162,16.4969450101833
NL,6,"W6
2015",Self-employed,161,15.72265625
NL,8,"W8
2024",Self-employed,161,14.596554850407978
NO,4,"W4
2005",Self-employed,94,9.822361546499478
NO,5,"W5
2010",Self-employed,81,7.5418994413407825
NO,6,"W6
2015",Self-employed,83,8.089668615984404
NO,8,"W8
2024",Self-employed,55,5.646817248459959
PL,3,"W3
2000",Self-employed,250,25.201612903225808
PL,4,"W4
2005",Self-employed,158,16.32231404958678
PL,5,"W5
2010",Self-employed,276,19.65811965811966
PL,6,"W6
2015",Self-employed,168,14.596003475238922
PL,8,"W8
2024",Self-employed,265,25.60386473429952
PT,2,"W2
1995",Self-employed,299,31.145833333333332
PT,3,"W3
2000",Self-employed,307,20.576407506702413
PT,4,"W4
2005",Self-employed,202,20.22022022022022
PT,5,"W5
2010",Self-employed,185,19.230769230769234
PT,6,"W6
2015",Self-employed,312,30.115830115830118
PT,8,"W8
2024",Self-employed,286,26.53061224489796
RO,3,"W3
2000",Self-employed,160,16.343207354443308
RO,4,"W4
2005",Self-employed,188,18.725099601593627
RO,5,"W5
2010",Self-employed,184,19.40928270042194
RO,6,"W6
2015",Self-employed,207,19.620853080568722
RO,8,"W8
2024",Self-employed,196,20.081967213114755
RS,6,"W6
2015",Self-employed,332,32.838773491592484
RS,8,"W8
2024",Self-employed,175,17.395626242544733
SE,2,"W2
1995",Self-employed,88,8.413001912045889
SE,3,"W3
2000",Self-employed,144,9.27237604636188
SE,4,"W4
2005",Self-employed,72,6.923076923076923
SE,5,"W5
2010",Self-employed,102,10.386965376782078
SE,6,"W6
2015",Self-employed,75,7.5
SE,8,"W8
2024",Self-employed,124,12.097560975609756
SI,3,"W3
2000",Self-employed,91,10.532407407407407
SI,4,"W4
2005",Self-employed,52,8.695652173913043
SI,5,"W5
2010",Self-employed,131,10.131477184841454
SI,6,"W6
2015",Self-employed,211,13.736979166666666
SI,8,"W8
2024",Self-employed,165,12.44343891402715
SK,3,"W3
2000",Self-employed,112,11.10009910802775
SK,4,"W4
2005",Self-employed,148,14.638971315529178
SK,5,"W5
2010",Self-employed,139,14.494264859228362
SK,6,"W6
2015",Self-employed,114,11.585365853658537
SK,8,"W8
2024",Self-employed,154,14.102564102564102
TR,4,"W4
2005",Self-employed,537,53.96984924623116
TR,5,"W5
2010",Self-employed,781,37.22592945662536
TR,6,"W6
2015",Self-employed,633,31.681681681681685
UK,2,"W2
1995",Self-employed,137,13.19845857418112
UK,3,"W3
2000",Self-employed,202,13.457694870086609
UK,4,"W4
2005",Self-employed,154,14.807692307692308
UK,5,"W5
2010",Self-employed,203,13.216145833333334
UK,6,"W6
2015",Self-employed,257,15.854410857495374
XK,5,"W5
2010",Self-employed,382,38.314944834503514
XK,8,"W8
2024",Self-employed,248,30.73110285006196
